image           segment rate
6.tif        0.812545776367
12.tif        0.905311584473
18.tif        0.868946075439
24.tif        0.508758544922
30.tif        0.976573944092
36.tif        0.926326751709
42.tif        0.86071395874
48.tif        0.843433380127
54.tif        0.870704650879
60.tif        0.821994781494
66.tif        0.637954711914
72.tif        0.435493469238
78.tif        0.540782928467
84.tif        0.486431121826
90.tif        0.571704864502
96.tif        0.668354034424
102.tif        0.667449951172
108.tif        0.566806793213
114.tif        0.536987304688
120.tif        0.675399780273
126.tif        0.0251235961914
132.tif        0.628433227539
138.tif        0.913536071777
144.tif        0.929882049561
150.tif        0.925289154053
156.tif        0.708717346191
162.tif        0.711448669434
168.tif        0.868545532227
174.tif        0.855976104736
180.tif        0.925304412842
186.tif        0.898246765137
192.tif        0.655364990234
198.tif        0.805740356445
204.tif        0.937915802002
210.tif        0.843074798584
216.tif        0.906646728516
222.tif        0.697151184082
228.tif        0.890350341797
234.tif        0.856258392334
240.tif        0.466602325439
246.tif        0.54515838623
252.tif        0.856338500977
258.tif        0.905166625977
264.tif        0.903400421143
270.tif        0.871212005615
276.tif        0.799003601074
282.tif        0.634948730469
288.tif        0.545627593994
294.tif        0.806396484375
300.tif        0.761211395264
306.tif        0.835590362549
312.tif        0.918560028076
318.tif        0.364612579346
324.tif        0.842315673828
330.tif        0.871238708496
336.tif        0.807426452637
342.tif        0.907421112061
348.tif        0.927520751953
354.tif        0.936336517334
360.tif        0.821674346924
366.tif        0.824138641357
372.tif        0.669002532959
378.tif        0.897495269775
384.tif        0.761669158936
390.tif        0.933780670166
396.tif        0.926940917969
402.tif        0.899887084961
408.tif        0.246242523193
414.tif        0.28214263916
420.tif        0.702751159668
426.tif        0.880249023438
432.tif        0.936065673828
438.tif        0.95059967041
444.tif        0.728096008301
450.tif        0.755470275879
456.tif        0.345287322998
462.tif        0.882286071777
468.tif        0.938083648682
474.tif        0.467735290527
480.tif        0.74108505249
486.tif        0.886611938477
492.tif        0.803607940674
498.tif        0.416816711426
504.tif        0.952079772949
510.tif        0.965286254883
516.tif        0.975963592529
522.tif        0.806102752686
528.tif        0.766754150391
534.tif        0.85200881958
540.tif        0.866291046143
546.tif        0.880558013916
552.tif        0.902732849121
558.tif        0.610782623291
564.tif        0.400310516357
570.tif        0.530067443848
576.tif        0.395175933838
582.tif        0.585723876953
588.tif        0.64270401001
594.tif        0.688526153564
600.tif        0.942409515381
606.tif        0.673679351807
612.tif        0.694026947021
618.tif        0.732852935791
624.tif        0.768684387207
630.tif        0.781131744385
636.tif        0.850421905518
642.tif        0.645729064941
648.tif        0.754898071289
654.tif        0.88020324707
660.tif        0.851711273193
666.tif        0.877265930176
672.tif        0.804962158203
678.tif        0.976272583008
684.tif        0.888896942139
690.tif        0.905521392822
696.tif        0.706897735596
702.tif        0.38020324707
708.tif        0.888465881348
714.tif        0.962574005127
720.tif        0.870239257812
726.tif        0.644012451172
732.tif        0.646671295166
738.tif        0.918281555176
744.tif        0.948890686035
750.tif        0.771179199219
756.tif        0.804271697998
762.tif        0.809638977051
768.tif        0.93868637085
774.tif        0.79919052124
780.tif        0.590965270996
786.tif        0.871368408203
792.tif        0.351757049561
798.tif        0.831344604492
804.tif        0.640464782715
810.tif        0.959980010986
816.tif        0.858833312988
822.tif        0.454391479492
828.tif        0.907432556152
834.tif        0.355346679688
840.tif        0.893707275391
846.tif        0.971477508545
852.tif        0.733173370361
858.tif        0.820484161377
864.tif        0.725444793701
870.tif        0.878147125244
876.tif        0.958477020264
882.tif        0.880390167236
888.tif        0.94873046875
894.tif        0.841835021973
900.tif        0.81307220459
906.tif        0.917560577393
912.tif        0.776538848877
918.tif        0.681045532227
924.tif        0.709300994873
930.tif        0.74019241333
936.tif        0.767078399658
942.tif        0.575401306152
948.tif        0.812660217285
954.tif        0.366970062256
960.tif        0.668056488037
966.tif        0.846393585205
972.tif        0.919723510742
978.tif        0.545684814453
984.tif        0.514591217041
990.tif        0.815826416016
996.tif        0.310508728027
1002.tif        0.0137010261194
1008.tif        0.803520202637
1014.tif        0.731769561768
1020.tif        0.985740661621
1026.tif        0.815139770508
1032.tif        0.793041229248
1038.tif        0.869731903076
1044.tif        0.976654052734
1050.tif        0.987644195557
1056.tif        0.941600799561
1062.tif        0.850639343262
1068.tif        0.387660980225
1074.tif        0.830661773682
1080.tif        0.640727996826
1086.tif        0.812286376953
1092.tif        0.929130554199
1098.tif        0.785747528076
1104.tif        0.671539306641
1110.tif        0.652214050293
1116.tif        0.685916900635
1122.tif        0.504566192627
1128.tif        0.59952545166
1134.tif        0.841335296631
1140.tif        0.816486358643
1146.tif        0.748676300049
1152.tif        0.579471588135
1158.tif        0.87818145752
1164.tif        0.387573242188
1170.tif        0.831043243408
1176.tif        0.916542053223
1182.tif        0.532302856445
1188.tif        0.81615447998
1194.tif        0.771438598633
1200.tif        0.754306793213
1206.tif        0.919353485107
1212.tif        0.968418121338
1218.tif        0.940288543701
1224.tif        0.856945037842
1230.tif        0.968154907227
1236.tif        0.623031616211
1242.tif        0.786865234375
1248.tif        0.822677612305
1254.tif        0.709468841553
1260.tif        0.841342926025
1266.tif        0.878757476807
1272.tif        0.345924377441
1278.tif        0.997066497803
1284.tif        0.725528717041
1290.tif        0.85701751709
1296.tif        0.929557800293
1302.tif        0.951683044434
1308.tif        0.627170562744
1314.tif        0.951026916504
1320.tif        0.820701599121
1326.tif        0.913539886475
1332.tif        0.275268554688
1338.tif        0.793132781982
1344.tif        0.857471466064
1350.tif        0.676902770996
1356.tif        0.798667907715
1362.tif        0.810688018799
1368.tif        0.751735687256
1374.tif        0.817165374756
1380.tif        0.994319915771
1386.tif        0.579906463623
1392.tif        0.384273529053
1398.tif        0.847263336182
1404.tif        0.661933898926
1410.tif        0.262500762939
1416.tif        0.806762695312
1422.tif        0.122734069824
1428.tif        0.771465301514
1434.tif        0.750534057617
1440.tif        0.873340606689
1446.tif        0.757446289062
1452.tif        0.721675872803
1458.tif        0.651802062988
1464.tif        0.485569000244
1470.tif        0.808654785156
1476.tif        0.909442901611
1482.tif        0.895481109619
1488.tif        0.724834442139
1494.tif        0.755146026611
1500.tif        0.217746734619
1506.tif        0.885112762451
1512.tif        0.929218292236
1518.tif        0.849975585938
1524.tif        0.685352325439
1530.tif        0.835689544678
1536.tif        0.782390594482
1542.tif        0.951080322266
1548.tif        0.96802520752
1554.tif        0.748989105225
1560.tif        0.828266143799
1566.tif        0.653381347656
1572.tif        0.565074920654
1578.tif        0.729202270508
1584.tif        0.869422912598
1590.tif        0.109405517578
1596.tif        0.620800018311
1602.tif        0.243438720703
1608.tif        0.790405273438
1614.tif        0.852676391602
1620.tif        0.614738464355
1626.tif        0.872257232666
1632.tif        0.755355834961
1638.tif        0.366832733154
1644.tif        0.929321289062
1650.tif        0.95499420166
